Project_Code,Skill,Emp_ID_Count,Date
004A,Manual Testing,2,8/24/2020
004A,Selenium Java,3,8/24/2020
005A,.Net,1,8/24/2020
005A,C++,1,8/24/2020
005A,Fullstack Java,1,8/24/2020
005A,Java,2,8/24/2020
005A,Selenium .NET,1,8/24/2020
005A,Selenium Java,1,8/24/2020
006A,DevOps,1,8/24/2020
006A,Java,1,8/24/2020
006A,SSIS,1,8/24/2020
007B,Automation Testing,1,8/24/2020
007B,Java,1,8/24/2020
008A,Fullstack Java,2,8/24/2020
008A,Java,5,8/24/2020
008A,JS_HTML_CSS_Java,2,8/24/2020
008A,Mobile Applications,1,8/24/2020
008A,Selenium Java,1,8/24/2020
008B,Automation Testing,1,8/24/2020
009A,AWS,1,8/24/2020
009A,Database Technologies,2,8/24/2020
009A,Datastage,1,8/24/2020
009A,Java,4,8/24/2020
009A,Perl,3,8/24/2020
001A,Business Analyst,1,8/24/2020
001A,Java,1,8/24/2020
001A,Technical Management,1,8/24/2020
001A,Technical Writing,1,8/24/2020
001B,Technical Management,1,8/24/2020
01A,Cognos,1,8/24/2020
01A,Datastage,3,8/24/2020
01A,Cognos,1,8/24/2020
01A,Database Technologies,2,8/24/2020
01A,Database Testing,1,8/24/2020
01A,Hadoop,3,8/24/2020
01A,Business Analyst,5,8/24/2020
01A,HL7,1,8/24/2020
01A,Java,3,8/24/2020
01A,Manual Testing,4,8/24/2020
01A,SSAS,3,8/24/2020
01A,SSIS,6,8/24/2020
01B,Business Analyst,1,8/24/2020
01B,Java,1,8/24/2020
01B,SSIS,1,8/24/2020
01B,Technical Management,1,8/24/2020
06A,Cognos,1,8/24/2020
06A,Database Testing,1,8/24/2020
06A,Hadoop,1,8/24/2020
06B,.Net,1,8/24/2020
01A,Java,2,8/24/2020
01B,Business Analyst,1,8/24/2020
001,Call-Center,15,8/24/2020
001,Data Entry,1,8/24/2020
001,HL7,2,8/24/2020
001,Manual Testing,2,8/24/2020
001,Recruitment,1,8/24/2020
001,Sales,2,8/24/2020
